"id","image_url","alt_text","post_id","created_at","updated_at"
92,"https://imgur.com/nW1pSBT.png","User Profile Screen with basic stats",28,"2022-12-12 05:26:54.977412","2022-12-12 05:26:54.977412"
93,"https://imgur.com/pAzDwzH.png","User Edit Profile Settings",28,"2022-12-12 05:26:55.260343","2022-12-12 05:26:55.260343"
94,"https://imgur.com/lHLSXil.png","User Calorie Count and placeholder for food intake breakdown graphs",28,"2022-12-12 05:26:55.533621","2022-12-12 05:26:55.533621"
95,"https://imgur.com/jKw77w8.png","User Achievements screen without icons",28,"2022-12-12 05:26:55.852499","2022-12-12 05:26:55.852499"
96,"https://imgur.com/RLEg9eC.png","User's Workout Log",28,"2022-12-12 05:26:56.149425","2022-12-12 05:26:56.149425"
97,"https://imgur.com/SCzW65N.png","User adding new workout to his log",28,"2022-12-12 05:26:56.491913","2022-12-12 05:26:56.491913"
98,"https://imgur.com/K7naT1F.png","Initial Recipes Galore Home Screen before Logging in",29,"2022-12-12 05:26:56.779272","2022-12-12 05:26:56.779272"
99,"https://imgur.com/WMSHKAO.png","Login Screen",29,"2022-12-12 05:26:57.099061","2022-12-12 05:26:57.099061"
100,"https://imgur.com/wvWDDL5.png","Once logged in, the screen opens user features",29,"2022-12-12 05:26:57.42183","2022-12-12 05:26:57.42183"
76,"https://imgur.com/92xr3mE.png","Walking Dead Fan Site with descriptions of seasons 1 through 5 as well as several main character descriptions",20,"2022-12-11 21:26:50","2022-12-11 21:26:50"
77,"https://imgur.com/wDMkYkJ.png","Column of photos along the left side with a main image on the right",21,"2022-12-11 21:26:50","2022-12-11 21:26:50"
78,"https://imgur.com/6lRZSbd.png","Two columns of radio buttons relating to background and text color with a main image sitting alongside paragraphs about my life and school.",22,"2022-12-11 21:26:50","2022-12-11 21:26:50"
82,"https://imgur.com/kfmVnZw.png","Cover Page of Van Gogh Web Flipbook",26,"2022-12-11 21:26:51","2022-12-11 21:26:51"
83,"https://imgur.com/GYvfv5w.png","Two Pages on Screen",26,"2022-12-11 21:26:52","2022-12-11 21:26:52"
84,"https://imgur.com/4NR5Jr9.png","Actual Page taking up half of screen",26,"2022-12-11 21:26:52","2022-12-11 21:26:52"
102,"https://imgur.com/dKuTM77.png","User Profile",29,"2022-12-12 05:26:58.044952","2022-12-12 05:26:58.044952"
103,"https://imgur.com/VV9KmAV.png","Add New Recipe from User Profile Screen before image chosen",29,"2022-12-12 05:26:58.357806","2022-12-12 05:26:58.357806"
104,"https://imgur.com/u2tRPAb.png","Add New Recipe from User Profile Screen after image chosen",29,"2022-12-12 05:26:58.6866","2022-12-12 05:26:58.6866"
105,"https://imgur.com/T2Numjx.png","Meat Dishes",29,"2022-12-12 05:26:59.01897","2022-12-12 05:26:59.01897"
106,"https://imgur.com/WGLAtWO.png","Recipe Detail View",29,"2022-12-12 05:26:59.309078","2022-12-12 05:26:59.309078"
107,"https://imgur.com/QxAuPyl.png","Refrigerator list of ingredients",29,"2022-12-12 05:26:59.588285","2022-12-12 05:26:59.588285"
108,"https://imgur.com/92TLsI3.png","Add Ingredient to Refrigerator List",29,"2022-12-12 05:26:59.855346","2022-12-12 05:26:59.855346"
109,"https://imgur.com/lUlihRx.png","Home screen asking for the user to create a PIN to securely store credit card information",30,"2022-12-12 05:27:00.213317","2022-12-12 05:27:00.213317"
110,"https://imgur.com/l09XsUM.png","Initial Credit card list",30,"2022-12-12 05:27:00.482458","2022-12-12 05:27:00.482458"
111,"https://imgur.com/Bfn3UlH.png","Add new credit card screen",30,"2022-12-12 05:27:00.73013","2022-12-12 05:27:00.73013"
112,"https://imgur.com/ONXL5xT.png","After adding two credit cards to the list",30,"2022-12-12 05:27:00.978732","2022-12-12 05:27:00.978732"
113,"https://imgur.com/rEJVNoo.png","If the user exits the app, this lock screen will appear preventing them from accessing the app secured information",30,"2022-12-12 05:27:01.267885","2022-12-12 05:27:01.267885"
114,"https://imgur.com/IWzBt3R.png","Home screen displaying",31,"2022-12-12 05:27:01.538796","2022-12-12 05:27:01.538796"
115,"https://imgur.com/Yd0EIJM.png","Main screen displaying no downloaded images",31,"2022-12-12 05:27:01.798006","2022-12-12 05:27:01.798006"
116,"https://imgur.com/taotH4F.png","Home screen displaying images as they download and are modified.",31,"2022-12-12 05:27:02.036904","2022-12-12 05:27:02.036904"
117,"https://imgur.com/vsa5BLy.png","Home screen displaying a table view of the contacts contained and saved within the app.",32,"2022-12-12 05:27:02.722781","2022-12-12 05:27:02.722781"
118,"https://imgur.com/HwsMNs8.png","Add contact screen",32,"2022-12-12 05:27:03.011947","2022-12-12 05:27:03.011947"
119,"https://imgur.com/fwqrd40.png","Home screen with a simple button to make more circles (balls) that will bounce around the screen. Two are bouncing.",33,"2022-12-12 05:27:03.318953","2022-12-12 05:27:03.318953"
120,"https://imgur.com/KsMIMb5.png","Home screen with circular views resting on the bottom of the screen.",33,"2022-12-12 05:27:03.647902","2022-12-12 05:27:03.647902"
121,"https://imgur.com/iWoBJ1C.png","Home screen with a new circular view dropping down.",33,"2022-12-12 05:27:03.974826","2022-12-12 05:27:03.974826"
122,"https://imgur.com/ZrNzXdl.png","Home screen with a quote and the favorited button displaying.",34,"2022-12-12 05:27:04.313629","2022-12-12 05:27:04.313629"
123,"https://imgur.com/2Qa7jij.png","Empty Home Screen with initial screen suggesting to the user to tap to begin reading quotes",34,"2022-12-12 05:27:04.619944","2022-12-12 05:27:04.619944"
124,"https://imgur.com/45uW0iJ.png","Home screen with the first quote displayed and no favorited button showing.",34,"2022-12-12 05:27:04.869322","2022-12-12 05:27:04.869322"
125,"https://imgur.com/V0ZpSh4.png","Table view list of all the quotes in the app.",34,"2022-12-12 05:27:05.136657","2022-12-12 05:27:05.136657"
126,"https://imgur.com/xZcSvWF.png","Add new quote screen",34,"2022-12-12 05:27:05.462959","2022-12-12 05:27:05.462959"
127,"https://imgur.com/YyhGU3k.png","List of quotes with newly added quote from Plato.",34,"2022-12-12 05:27:05.744283","2022-12-12 05:27:05.744283"
128,"https://imgur.com/aFHt8wx.png","Table view list of the user's favorite quotes.",34,"2022-12-12 05:27:06.03161","2022-12-12 05:27:06.03161"
129,"https://imgur.com/HbeKPCt.png","Collection View of the six famous spots in Los Angeles",35,"2022-12-12 05:27:06.283975","2022-12-12 05:27:06.283975"
130,"https://imgur.com/3vuwlET.png","Loading up the Dodger Stadium Webpage.",35,"2022-12-12 05:27:06.580284","2022-12-12 05:27:06.580284"
131,"https://imgur.com/JKab77w.png","Disneyland's homepage.",35,"2022-12-12 05:27:06.855732","2022-12-12 05:27:06.855732"
132,"https://imgur.com/qDV3YP4.png","The California Science Center website.",35,"2022-12-12 05:27:07.107754","2022-12-12 05:27:07.107754"
133,"https://imgur.com/VXJMfjD.png","Main screen with story but no bonus options",36,"2022-12-12 05:27:07.339096","2022-12-12 05:27:07.339096"
134,"https://imgur.com/yNtnoA5.png","Main screen with no text fields filled in",36,"2022-12-12 05:27:07.626306","2022-12-12 05:27:07.626306"
135,"https://imgur.com/hNmmIqs.png","Main screen with no bonus options",36,"2022-12-12 05:27:07.883415","2022-12-12 05:27:07.883415"
136,"https://imgur.com/P71YXhA.png","Main screen with bonus options",36,"2022-12-12 05:27:08.127012","2022-12-12 05:27:08.127012"
137,"https://imgur.com/ahpOJD2.png","Main screen with bonus options and story open.",36,"2022-12-12 05:27:08.433399","2022-12-12 05:27:08.433399"
138,"https://imgur.com/YR66lVj.png","Main screen with user name and having chosen Batman.",37,"2022-12-12 05:27:08.738198","2022-12-12 05:27:08.738198"
139,"https://imgur.com/ZQDA9mn.png","Main screen without the name but having chosen Superman",37,"2022-12-12 05:27:09.09253","2022-12-12 05:27:09.09253"
140,"https://imgur.com/B1MjSV5.png","Eagerly awaiting a piece of Uncle Tetsu Cheesecake in Arcadia",1,"2022-12-12 05:27:09.380093","2022-12-12 05:27:09.380093"
141,"https://imgur.com/2nNTryG.png","Going to Eaton Canyon with my little pup, Isabella, makes for the perfect day.",1,"2022-12-12 05:27:09.67174","2022-12-12 05:27:09.67174"
142,"https://imgur.com/t3NPcAL.png","A well-priced tasty cup of Capital One coffee keeps me going!",1,"2022-12-12 05:27:09.948903","2022-12-12 05:27:09.948903"
143,"https://imgur.com/YVuKdnH.png","A Trip to Disney's California Adventure",1,"2022-12-12 05:27:10.217848","2022-12-12 05:27:10.217848"
144,"https://imgur.com/EI73V65.png","Homepage with multiple full calendar views",38,"2022-12-12 05:27:10.517051","2022-12-12 05:27:10.517051"
145,"https://imgur.com/9Cf0Dyu.png","Modal detailed view of a particular calendar day",38,"2022-12-12 05:27:10.832978","2022-12-12 05:27:10.832978"
146,"https://imgur.com/YrXyPHV.png","Modal detailed view showing an example of a Dodgers' away game",38,"2022-12-12 05:27:11.118054","2022-12-12 05:27:11.118054"
147,"https://imgur.com/69zoH1H.png","Mobile homepage view with list of upcoming calendar dates",38,"2022-12-12 05:27:11.371094","2022-12-12 05:27:11.371094"
148,"https://imgur.com/eqzGJBe.png","Single calendar month view of Dodger games ",38,"2022-12-12 05:27:11.686108","2022-12-12 05:27:11.686108"
149,"https://imgur.com/gQjoiev.png","Single calendar month mobile view of Dodgers games in October",38,"2022-12-12 05:27:11.933484","2022-12-12 05:27:11.933484"
150,"https://imgur.com/VSIPCpx.png","Detail mobile view of Star Wars Night at Dodger Stadium",38,"2022-12-12 05:27:12.171801","2022-12-12 05:27:12.171801"
152,"https://imgur.com/gQjoiev.png","Single calendar month mobile view of Dodgers games in October",39,"2023-02-11 05:20:24.916789","2023-02-11 05:20:24.916789"
153,"https://imgur.com/eqzGJBe.png","Single calendar month view of Dodger games",39,"2023-02-11 05:20:55.433961","2023-02-11 05:20:55.433961"
154,"https://imgur.com/69zoH1H.png","Mobile homepage view with list of upcoming calendar dates",39,"2023-02-11 05:21:17.879196","2023-02-11 05:21:17.879196"
155,"https://imgur.com/YrXyPHV.png","Modal detailed view showing an example of a Dodgers' away game",39,"2023-02-11 05:21:42.240762","2023-02-11 05:21:42.240762"
156,"https://imgur.com/9Cf0Dyu.png","Modal detailed view of a particular calendar day",39,"2023-02-11 05:22:06.34192","2023-02-11 05:22:06.34192"
157,"https://imgur.com/EI73V65.png","Homepage with multiple full calendar views",39,"2023-02-11 05:22:35.361664","2023-02-11 05:22:35.361664"
151,"https://imgur.com/VSIPCpx.png","Detail mobile view of Star Wars Night at Dodger Stadium",39,"2023-02-10 21:19:48","2023-02-10 21:19:48"
